Comuna,Barrio,Latitude,Longitude
15,AGRONOMIA,-34.5925,-58.4944
5,ALMAGRO,-34.6111,-58.4202
3,BALVANERA,-34.6101,-58.4059
4,BARRACAS,-34.6411,-58.3774
13,BELGRANO,-34.5621,-58.4567
4,BOCA,-34.6345,-58.3631
5,BOEDO,-34.631,-58.4202
6,CABALLITO,-34.6209,-58.4459
15,CHACARITA,-34.586,-58.4544
12,COGHLAN,-34.561,-58.4759
13,COLEGIALES,-34.5744,-58.4487
1,CONSTITUCION,-34.6261,-58.386
7,FLORES,-34.6375,-58.4601
10,FLORESTA,-34.6283,-58.4844
9,LINIERS,-34.6439,-58.5172
9,MATADEROS,-34.6572,-58.503
1,MONSERRAT,-34.6131,-58.3814
10,MONTE CASTRO,-34.6207,-58.5058
4,NUEVA POMPEYA,-34.6509,-58.4202
13,NUÑEZ,-34.5427,-58.4601
14,PALERMO,-34.5712,-58.4233
9,PARQUE AVELLANEDA,-34.6474,-58.4773
7,PARQUE CHACABUCO,-34.6359,-58.4373
15,PARQUE CHAS,-34.5842,-58.4787
4,PARQUE PATRICIOS,-34.6377,-58.4002
15,PATERNAL,-34.5959,-58.4716
1,PUERTO MADERO,-34.6177,-58.3621
2,RECOLETA,-34.5896,-58.3974
1,RETIRO,-34.5896,-58.3802
12,SAAVEDRA,-34.5542,-58.4915
3,SAN CRISTOBAL,-34.6244,-58.3974
1,SAN NICOLAS,-33.3335,-60.2111
1,SAN TELMO,-34.6212,-58.3731
10,VELEZ SARSFIELD,-34.6307,-58.493
10,VERSALLES,-34.6306,-58.523
15,VILLA CRESPO,-34.5977,-58.443
11,VILLA DEL PARQUE,-34.6058,-58.4887
11,VILLA DEVOTO,-34.6007,-58.5144
11,VILLA GRAL. MITRE,-34.6108,-58.4716
8,VILLA LUGANO,-34.6706,-58.4801
10,VILLA LURO,-34.639,-58.5001
15,VILLA ORTUZAR,-34.5793,-58.4659
12,VILLA PUEYRREDON,-34.5808,-58.5058
10,VILLA REAL,-34.6198,-58.5244
8,VILLA RIACHUELO,-34.6973,-58.4601
11,VILLA SANTA RITA,-34.6141,-58.483
8,VILLA SOLDATI,-34.6707,-58.4459
12,VILLA URQUIZA,-34.5709,-58.4887
